estado,nombre,periodo,partido
Ciudad de México,José Joaquín Francisco Jerónimo Morán y del Villar-Cossío,11 de octubre de 1823,Militar
Ciudad de México,Melchor Múzquiz,9 de enero de 1824,Popular (Yorkino)
Ciudad de México,Manuel Gómez Pedraza,3 de marzo de 1824,Logia Escocesa (Centralista y Conservador)
Ciudad de México,Manuel Gómez Pedraza,18 de noviembre de 1824,Logia Escocesa (Centralista y Conservador)
Ciudad de México,José María Tornel,25 de noviembre de 1825,
Ciudad de México,Juan Manuel de Elizalde,26 de agosto de 1826,
Ciudad de México,Francisco Molinos del Campo,2 de septiembre de 1826,
Ciudad de México,Juan Manuel de Elizalde,2 de octubre de 1826,
Ciudad de México,José Ignacio Esteva Bruell,28 de diciembre de 1827,
Ciudad de México,José María Tornel,23 de febrero de 1828,
Ciudad de México,José Ignacio Esteva Bruell,3 de diciembre de 1828,
Ciudad de México,Agustín Pérez de Lebrija,30 de enero de 1830,
Ciudad de México,Miguel Jerónimo de Cervantes y Velasco,20 de febrero de 1830,
Ciudad de México,Francisco Fagoaga,18 de febrero de 1831,
Ciudad de México,Ignacio Martínez,14 de octubre de 1832,
Ciudad de México,José Joaquín de Herrera,8 de enero de 1833,
Ciudad de México,Ignacio Martínez,17 de abril de 1833,
Ciudad de México,José María Tornel,24 de noviembre de 1833,
Ciudad de México,Ramón López Rayón,12 de enero de 1835,
Ciudad de México,José Gómez de la Cortina,13 de octubre de 1835,
Ciudad de México,Manuel Fernández Madrid,15 de octubre de 1836,
Ciudad de México,Francisco García Conde,26 de octubre de 1836,
Ciudad de México,José Guadalupe Covarrubias,7 de diciembre de 1846,
Ciudad de México,Vicente Romero,4 de enero de 1847,
Ciudad de México,Juan José Baz,13 de enero de 1857,
Ciudad de México,José Ramón Malo,17 de febrero de 1847,
Ciudad de México,Ignacio Tiburcio Valeriano Trigueros Olea,29 de marzo de 1847,
Ciudad de México,José Ignacio Gutiérrez,3 de junio de 1847,
Ciudad de México,Manuel María Lombardini,29 de junio de 1847,
Ciudad de México,Miguel Cervantes,3 de agosto de 1847,
Ciudad de México,José María Tornel,22 de agosto de 1847,
Ciudad de México,José Joaquín de Herrera,26 de agosto de 1847,
Ciudad de México,Manuel Reyes Veramendi,16 de septiembre de 1847,
Ciudad de México,Francisco Suárez Iriarte,25 de diciembre de 1847,
Ciudad de México,Juan María Florés y Terán,28 de marzo de 1848,
Ciudad de México,José Ramón Malo,5 de noviembre de 1848,
Ciudad de México,Pedro Jorrín,14 de mayo de 1849,
Ciudad de México,Pedro María Anaya,10 de julio de 1849,
Ciudad de México,Miguel María de Azcárate,2 de enero de 1850,
Ciudad de México,Antonio Díez de Bonilla,21 de octubre de 1854,
Ciudad de México,Martín Carrera,15 de noviembre de 1854,
Ciudad de México,Antonio Díez de Bonilla,15 de agosto de 1855,
Ciudad de México,Juan José Baz,5 de enero de 1856,
Ciudad de México,Agustín Alcérreca,4 de octubre de 1857,
Ciudad de México,Miguel María de Azcárate,21 de enero de 1858,
Ciudad de México,Romulo Díaz de la Vega,29 de diciembre de 1859,
Ciudad de México,Francisco G. Casanova,29 de febrero de 1860,
Ciudad de México,Justino Fernández Mondoño,6 de enero de 1861,
Ciudad de México,Miguel Blanco y Muzquiz,9 de febrero de 1861,
Ciudad de México,Juan José Baz,25 de junio de 1861,
Ciudad de México,Anastasio Parrodi,8 de enero de 1862,
Ciudad de México,Ángel Frías,23 de abril de 1862,
Ciudad de México,Anastasio Parrodi,1 de mayo de 1862,
Ciudad de México,José María González de Mendoza,24 de mayo de 1862,
Ciudad de México,José Silvestre Aramberri,20 de septiembre de 1862,
Ciudad de México,Ponciano Arriaga,23 de enero de 1863,
Ciudad de México,José María González de Mendoza,1 de marzo de 1863,
Ciudad de México,Miguel María de Azcárate,12 de junio de 1863,
Ciudad de México,Manuel García Aguirre,30 de junio de 1863,
Ciudad de México,Porfirio Díaz,15 de junio de 1867,
