estado,nombre,periodo,partido
Aguascalientes,Pedro José López de Nava Mayoga,30 de diciembre de 1836 - 1837,
Aguascalientes,Francisco Flores Alatorre Terán,25 de junio de 1837 - 1841,
Aguascalientes,José María López de Nava,3 de noviembre de 1841 - abril de 1842,
Aguascalientes,Nicolás Condelle Soya,Abril de 1842 - agosto de 1843,
Aguascalientes,Mariano Chico Navarro,31 de agosto de 1843 - 13 de agosto de 1844,–
Aguascalientes,Mariano Chico Navarro,13 de agosto de 1844 - noviembre de 1845,–
Aguascalientes,Felipe Nieto y del Portillo,Noviembre de 1845 - 22 de agosto de 1846,–
Aguascalientes,Felipe Nieto y del Portillo,22 de agosto de 1846 - septiembre de 1846,
Aguascalientes,Felipe Cosío,2 de septiembre de 1846 - 1848,–
Aguascalientes,Tomás Requena,Agosto de 1848,
Aguascalientes,Jesús Terán Peredo,1848 - 1849,Partido Liberal
Aguascalientes,Atanasio Rodríguez Ramírez,1850 - 1853,
Aguascalientes,José Cirilo Gómez Anaya,10 de diciembre de 1853 - 1855,Partido Conservador
Aguascalientes,Jesús Terán Peredo,1855 - 1857,Partido Liberal
Aguascalientes,José María López de Nava,9 de julio de 1857 - enero de 1859,
Aguascalientes,Carlos Roberto Patrón Zavalegui,1859 - 1859,
Aguascalientes,José María Chávez Alonso,Febrero de 1859 - septiembre de 1859,Partido Liberal
Aguascalientes,Jesús Gómez Portugal,Septiembre de 1859,Partido Liberal
Aguascalientes,Adrián Woll,Octubre de 1859,
Aguascalientes,Miguel Alfaro,Octubre de 1859 - diciembre de 1859,
Aguascalientes,José Longinos Rivera,Diciembre de 1859 - febrero de 1861,
Aguascalientes,Esteban Ávila Mier,Febrero de 1861 - 1862,–
Aguascalientes,Antonio Rayón Mellado,Febrero de 1862 - abril de 1862,
Aguascalientes,Esteban Ávila Mier,23 de abril de 1862 - 1862,
Aguascalientes,Ponciano Arriaga,7 de junio de 1862 - 1863,Partido Liberal
Aguascalientes,José María Chávez Alonso,20 de octubre de 1863 - 1863,Partido Liberal
Aguascalientes,Juan Chávez,1863 - febrero de 1864,Partido Conservador
Aguascalientes,Jesús Gómez Portugal (1820 – 1875),Diciembre de 1867 - 30 de noviembre de 1871,Partido Liberal
Aguascalientes,Carlos Barrón Letechipía (? –?),1 de diciembre de 1871 - 1872,–
Aguascalientes,Rodrigo Rincón Gallardo (1840 – 1909),9 de diciembre de 1871 - enero de 1872,
Aguascalientes,Patricio de la Vega de la Torre,Enero de 1872 - 1872,
Aguascalientes,Jesús Gómez Velez,1872 - 1872,
Aguascalientes,Patricio de la Vega de la Torre,2 de marzo de 1872 - mayo de 1872,
Aguascalientes,José María Rangel,Diciembre de 1872 - enero de 1873,
Aguascalientes,Ignacio T. Chávez (1837 – 1908),1873 - 30 de noviembre de 1875,Partido Liberal
Aguascalientes,Rodrigo Rincón Gallardo (1840 – 1909),1 de diciembre de 1875 - mayo de 1876,
Aguascalientes,Rafael Sagredo,Mayo de 1876,
Aguascalientes,Rodrigo Rincón Gallardo (1840 – 1909),Mayo de 1876 - 25 de diciembre de 1876,
Aguascalientes,Francisco Gómez Hornedo (1847 – 1890),25 de diciembre de 1876 - 30 de noviembre de 1879,Partido Liberal
Aguascalientes,Miguel Güinchard (1840 – 1903),30 de noviembre de 1879 - 11 de mayo de 1881,–
Aguascalientes,Librado Gallegos Díaz,11 de mayo de 1881 - 12 de junio de 1881,
Aguascalientes,Rafael Arellano Ruiz Esparza (1844 – 1923),Junio de 1881 - mayo de 1883,Partido Liberal
Aguascalientes,Rafael Sagredo,Mayo de 1883 - 1 de diciembre de 1883,
Aguascalientes,Francisco Gómez Hornedo (1847 – 1890),1 de diciembre de 1883 - 30 de noviembre de 1887,Partido Liberal
Aguascalientes,Alejandro Vázquez del Mercado (1844 – 1923),1 de diciembre de 1887 - 30 de noviembre de 1895,Partido Liberal
Aguascalientes,Rafael Arellano Ruiz Esparza (1844 – 1919),1 de diciembre de 1895 - 30 de noviembre de 1899,Partido Liberal
Aguascalientes,Carlos Sagredo (? – ?),1 de diciembre de 1899 - 30 de noviembre de 1903,Círculo Nacional Porfirista
Aguascalientes,Alejandro Vázquez del Mercado (1844 – 1923),1 de diciembre de 1903 - 25 de diciembre de 1910,Partido Liberal
Aguascalientes,Alberto M. Dávila Merino,1 de febrero de 1909 - 1 de marzo de 1909,
Aguascalientes,Enrique Osorio Martínez,26 de diciembre de 1910 - 26 de enero de 1911,
Aguascalientes,Felipe Ruiz de Chávez Montañez,3 de mayo de 1911 - 7 de junio de 1911,
Aguascalientes,Alejandro Martínez Ugarte,8 de junio de 1911 - 24 de agosto de 1911,
Aguascalientes,Alberto M. Dávila Merino,24 de agosto de 1911 - 29 de agosto de 1911,
Aguascalientes,Alejandro Martínez Ugarte,29 de agosto de 1911 - 31 de agosto de 1911,
