estado,nombre,periodo,partido
Aguascalientes,Otto Granados Roldán (1956),1 de diciembre de 1992 - 30 de noviembre de 1998,Partido Revolucionario Institucional
Aguascalientes,Felipe González González (1947 - 2023),1 de diciembre de 1998 - 25 de agosto de 2004,Partido Acción Nacional
Aguascalientes,Juan José León Rubio (1954),25 de agosto de 2004 - 30 de noviembre de 2004,Partido Acción Nacional
Aguascalientes,Luis Armando Reynoso Femat (1957),1 de diciembre de 2004 - 30 de noviembre de 2010,Partido Acción Nacional
Aguascalientes,Carlos Lozano de la Torre (1950),1 de diciembre de 2010 - 30 de noviembre de 2016,Partido Revolucionario Institucional
Aguascalientes,Martín Orozco Sandoval (1967),1 de diciembre de 2016 - 30 de septiembre de 2022,Partido Acción Nacional
Aguascalientes,María Teresa Jiménez Esquivel (1984),Desde el 1 de octubre de 2022,Partido Acción Nacional
Baja California,Ernesto Ruffo Appel (1952),1 de noviembre de 1989 - 31 de octubre de 1995,Partido Acción Nacional
Baja California,Héctor Terán Terán (1931-1998),1 de noviembre de 1995 - 4 de octubre de 1998,Partido Acción Nacional
Baja California,Alejandro González Alcocer (1951),5 de octubre de 1998 - 31 de octubre de 2001,Partido Acción Nacional
Baja California,Eugenio Elorduy Walther (1940-2023),1 de noviembre de 2001 - 31 de octubre de 2007,Partido Acción Nacional
Baja California,José Guadalupe Osuna Millán (1955),1 de noviembre de 2007 - 31 de octubre de 2013,Partido Acción Nacional
Baja California,Francisco Vega de Lamadrid (1955),1 de noviembre de 2013 - 31 de octubre de 2019,Partido Acción Nacional
Baja California,Jaime Bonilla Valdez (1950),1 de noviembre de 2019 - 31 de octubre de 2021,Movimiento de Regeneración Nacional
Baja California,Marina del Pilar Ávila Olmeda (1985),Desde el 1 de noviembre de 2021,Movimiento de Regeneración Nacional
Campeche,Jorge Salomón Azar García,16 de septiembre de 1991 - 15 de septiembre de 1997,Partido Revolucionario Institucional
Campeche,José Antonio González Curi (1952),16 de septiembre de 1997 - 15 de septiembre de 2003,Partido Revolucionario Institucional
Campeche,Jorge Carlos Hurtado Valdez (1949),16 de septiembre de 2003 - 15 de septiembre de 2009,Partido Revolucionario Institucional
Campeche,Fernando Ortega Bernés (1958),16 de septiembre de 2009 - 15 de septiembre de 2015,Partido Revolucionario Institucional
Campeche,Alejandro Moreno Cárdenas (1975),16 de septiembre de 2015 - 13 de junio de 2019,Partido Revolucionario Institucional
Campeche,Carlos Miguel Aysa González (1950),13 de junio de 2019 - 15 de septiembre de 2021,Partido Revolucionario Institucional
Campeche,Layda Sansores San Román (1945),Desde el 16 de septiembre de 2021,Movimiento de Regeneración Nacional
Chiapas,Elmar Setzer Marseille,4 de enero de 1993 - 18 de enero de 1994,Partido Revolucionario Institucional
Chiapas,Javier López Moreno,18 de enero de 1994 - 8 de diciembre de 1994,Partido Revolucionario Institucional
Chiapas,Eduardo Robledo Rincón,8 de diciembre de 1994 - 17 de febrero de 1995,Partido Revolucionario Institucional
Chiapas,Julio César Ruiz Ferro,17 de febrero de 1995 - 7 de enero de 1998,Partido Revolucionario Institucional
Chiapas,Roberto Albores Guillén,7 de enero de 1998 - 8 de diciembre de 2000,Partido Revolucionario Institucional
Chiapas,Pablo Abner Salazar Mendiguchía,8 de diciembre de 2000 - 7 de diciembre de 2006,Partido de la Revolución Democrática
Chiapas,Juan Sabines Guerrero,8 de diciembre de 2006 - 7 de diciembre de 2012,Partido de la Revolución Democrática
Chiapas,Manuel Velasco Coello,8 de diciembre de 2012 - 29 de agosto de 2018,Partido Verde Ecologista de México
Chiapas,Willy Ochoa Gallegos,30 de agosto de 2018 - 4 de septiembre de 2018,Partido Revolucionario Institucional
Chiapas,Manuel Velasco Coello,5 de septiembre de 2018 - 7 de diciembre de 2018,Partido Verde Ecologista de México
Chiapas,Rutilio Escandón Cadenas,8 de diciembre de 2018 - 7 de diciembre de 2024,Movimiento de Regeneración Nacional
Chiapas,Eduardo Ramírez Aguilar,Desde el 8 de diciembre de 2024,Movimiento de Regeneración Nacional
Chihuahua,Francisco Javier Barrio Terrazas,4 de octubre de 1992 - 3 de octubre de 1998,Partido Acción Nacional
Chihuahua,Patricio Martínez García,4 de octubre de 1998 - 3 de octubre de 2004,Partido Revolucionario Institucional
Chihuahua,Víctor Emilio Achondo Paredes,22 de enero de 2001 - 20 de marzo de 2001,Partido Revolucionario Institucional
Chihuahua,Patricio Martínez García,20 de marzo de 2001 - 3 de octubre de 2004,Partido Revolucionario Institucional
Chihuahua,José Reyes Baeza Terrazas,4 de octubre de 2004 - 3 de octubre de 2010,Partido Revolucionario Institucional
Chihuahua,César Horacio Duarte Jáquez,4 de octubre de 2010 - 3 de octubre de 2016,Partido Revolucionario Institucional
Chihuahua,Javier Corral Jurado,4 de octubre de 2016 - 7 de septiembre de 2021,Partido Acción Nacional
Chihuahua,María Eugenia Campos Galván,Desde el 8 de septiembre de 2021,Partido Acción Nacional
Coahuila,Rogelio Montemayor Seguy (1947),1 de diciembre de 1993 - 30 de noviembre de 1999,Partido Revolucionario Institucional
Coahuila,Enrique Martínez y Martínez (1948),1 de diciembre de 1999 - 30 de noviembre de 2005,Partido Revolucionario Institucional
Coahuila,Humberto Moreira Valdez (1966),1 de diciembre de 2005 - 4 de enero de 2011,Partido Revolucionario Institucional
Coahuila,Jorge Torres López (1954),4 de enero de 2011 - 30 de noviembre de 2011,Partido Revolucionario Institucional
Coahuila,Rubén Moreira Valdez (1963),1 de diciembre de 2011 - 30 de noviembre de 2017,Partido Revolucionario Institucional
Coahuila,Miguel Riquelme Solís (1970),1 de diciembre de 2017 - 30 de noviembre de 2023,Partido Revolucionario Institucional
